date,tieba,douban,weibo
2024-06-13,0.6857142857142857,0.6235955056179775,0.8726047904191616
2024-06-14,0.5357798165137615,0.4849122807017544,0.6243193997856377
2024-06-15,0.3261261261261261,0.25333333333333335,0.40536238981390793
2024-06-16,-0.15903614457831325,0.10097719869706841,0.4735890932149651
2024-06-17,-0.5681260945709281,-0.3153724247226624,0.4305352798053528
2024-06-18,-0.5976921126046157,-0.36495535714285715,0.08975685463010863
2024-06-19,-0.5953107344632769,-0.3858695652173913,0.10960324616771865
2024-06-20,-0.5589881906983525,-0.39026437263953,-0.08721885813148791
2024-06-21,-0.5527307390377929,-0.34146341463414637,-0.03340874811463049
2024-06-22,-0.5262669962917181,-0.3254257907542579,-0.061290322580645186
2024-06-23,-0.5769952265304413,-0.42250530785562634,0.006335514574657923
2024-06-24,-0.5755003383931161,-0.5008605851979346,-0.045058900523560236
2024-06-25,-0.5765048154093098,-0.46875,-0.08724320742213389
2024-06-26,-0.5637040142542711,-0.46835443037974683,-0.025602836879432645
2024-06-27,-0.5494994341429441,-0.4367816091954023,-0.15538243626062326
2024-06-28,-0.6595711340206186,-0.4608030592734226,-0.20375481386392813
2024-06-29,-0.6674240815459758,-0.5714285714285714,-0.15990990990990994
2024-06-30,-0.6747211895910781,-0.4222222222222222,-0.12683246073298432
2024-07-01,-0.68605291005291,-0.5217391304347826,-0.14719471947194723
2024-07-02,-0.6821428571428572,-0.44,-0.17556053811659195
2024-07-03,-0.6942778216258879,-1.0,0.02339181286549706
2024-07-04,-0.6329457364341086,-0.42857142857142855,-0.16107382550335572
2024-07-05,-0.6375421686746987,0.0,-0.06150442477876108
2024-07-06,-0.6350617283950617,-0.6666666666666666,-0.010000000000000024
2024-07-07,-0.6282646048109966,-0.6190476190476191,0.08593749999999999
2024-07-08,-0.6008221993833505,,-0.014356435643564378
2024-07-09,-0.5796432964329643,-0.5454545454545454,-0.033333333333333354
2024-07-10,-0.6038271604938271,0.0,-0.11442307692307695
2024-07-11,-0.542928452579035,-1.0,-0.054761904761904776
2024-07-12,-0.550807537012113,-0.6923076923076923,0.002941176470588218
2024-07-13,-0.5645675902602855,-0.5555555555555556,-0.0016129032258064603
2024-07-14,-0.5159877017678708,-1.0,0.04374999999999998
2024-07-15,-0.5861554845580405,-1.0,0.14999999999999997
2024-07-16,-0.5857946554149086,,0.06666666666666665
2024-07-17,-0.5981701738334858,-1.0,0.022580645161290304
2024-07-18,-0.5836527621195039,-0.5,0.5043478260869565
2024-07-19,-0.5743589743589743,-0.3333333333333333,0.016071428571428566
2024-07-20,-0.5918867924528302,,-0.4333333333333334
2024-07-21,-0.6201143946615825,-1.0,0.2772727272727273
2024-07-22,-0.6209507042253521,,0.3026315789473684
2024-07-23,-0.545082508250825,,0.20166666666666663
2024-07-24,-0.5697036223929748,0.0,-0.34166666666666673
2024-07-25,-0.5251533742331289,0.0,0.05999999999999999
2024-07-26,-0.5754237288135593,0.0,-0.15500000000000003
2024-07-27,-0.5833095577746077,,-0.21071428571428572
2024-07-28,-0.5674711437565582,-1.0,-0.42058823529411765
2024-07-29,-0.5905405405405405,0.0,0.3596153846153846
2024-07-30,-0.57803738317757,,0.05882352941176469
2024-07-31,-0.5826923076923077,,0.11666666666666664
2024-08-01,-0.5657657657657658,,0.29062499999999997
2024-08-02,-0.5215163934426229,,0.024999999999999998
2024-08-03,-0.526996805111821,-1.0,0.08676470588235292
2024-08-04,-0.6363636363636364,-0.5,0.06749999999999998
2024-08-05,-0.5074074074074074,0.0,0.08593749999999997
2024-08-06,-0.506137865911237,0.0,0.04218749999999999
2024-08-07,-0.4607074569789675,-0.3157894736842105,0.205
2024-08-08,-0.4614003590664273,0.0,-0.14400000000000002
2024-08-09,-0.5046210720887245,0.0,-0.19166666666666668
2024-08-10,-0.5085714285714286,0.0,-0.18333333333333335
2024-08-11,-0.4793103448275862,-0.36363636363636365,-0.15500000000000003
2024-08-12,-0.46755447941888617,-0.45454545454545453,0.2631578947368421
2024-08-13,-0.4613372093023255,0.0,-0.11818181818181821
2024-08-14,-0.5440366972477064,,-0.39687500000000003
2024-08-15,-0.47368421052631576,-0.5,0.14814814814814814
2024-08-16,-0.47978947368421054,,0.3526315789473684
2024-08-17,-0.4878048780487805,,0.11249999999999999
2024-08-18,-0.5916049382716049,,-0.004761904761904777
2024-08-19,-0.563657770800628,,-0.12302052785923756
2024-08-20,-0.5380952380952381,,-0.01693548387096776
2024-08-21,-0.536271186440678,,-0.2116666666666667
2024-08-22,-0.5244094488188976,-1.0,-0.16794871794871796
2024-08-23,-0.574798927613941,-0.5,-0.11655405405405408
2024-08-24,-0.5870229007633587,-0.6666666666666666,-0.18541666666666667
2024-08-25,-0.5888888888888889,-1.0,0.01041666666666665
2024-08-26,-0.4915760869565218,-1.0,-0.034482758620689676
2024-08-27,-0.6149681528662421,-0.3333333333333333,0.1520408163265306
2024-08-28,-0.591764705882353,-0.5714285714285714,-0.21250000000000002
2024-08-29,-0.5452380952380952,,-0.10750000000000001
2024-08-30,-0.5551724137931033,-0.5370370370370371,0.045945945945945935
2024-08-31,-0.6125531914893616,,0.027659574468085094
2024-09-01,-0.6437853107344633,-0.5882352941176471,-0.13245614035087722
2024-09-02,-0.5761194029850746,-0.75,-0.18802816901408453
2024-09-03,-0.6479553903345725,-0.45164003364171573,-0.23569131832797433
2024-09-04,-0.5776758409785933,-0.544891640866873,-0.18952569169960476
2024-09-05,-0.6092979127134724,-0.4774774774774775,-0.21218750000000003
2024-09-06,-0.6632302405498282,-0.75,-0.12333333333333335
